"0011","Didáctica de la educación infantil","Didàctica de l'educación infantil","39"
"0012","Autonomía personal y salud infantil","Autonomia personal i salut infantil","39"
"0013","El juego infantil y su metodología","El joc infantil i la seua metodolog","39"
"0014","Expresión y comunicación","Expressió i comunicació","39"
"0015","Desarrollo cognitivo y motor","Desenrotllament cognitiu i motor","39"
"0016","Desarrollo socioafectivo","Desenrotllament socioafectiu","39"
"0017","Habilidades sociales","Habilitats socials","39"
"0018","Intervención con familias y atenc.","Intervenció amb famílies i atenció ","39"
"0020","Primeros auxilios","Primers auxilis","3"
"0021","Formación y orientación laboral","Formació i orientació laboral","39"
"0022","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","39"
"0026","Procesos básicos de pastelería y repostería","Processos bàsics de pastisseria i rebosteria","12"
"0028","Postres en restauración","Postres en restauració","12"
"0031","Seguridad e higiene en la manipulación de alimentos","Seguretat i higiene en la manipulació d'aliments","12"
"0045","Ofertas gastronómicas","Ofertes gastronòmiques","12"
"0046","Preelaboración y conservación de al","Preelaboració i conservació d'alime","12"
"0047","Técnicas culinarias","Tècniques culinàries","12"
"0048","Productos culinarios","Productes culinaris","12"
"0049","Formación y orientación laboral","Formació i orientació laboral","12"
"0050","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","12"
"0061","Anatomofisiología y patología básicas","Anatomofisiologia i patologia bàsiques","4"
"0099","Disposición y venta de productos","Disposició i venda de productes","4"
"0100","Oficina de farmacia","Oficina de farmàcia","4"
"0101","Dispensación de productos farmaceút","Dispensació de productes farmacèut.","4"
"0102","Dispensación de productos parafarm.","Dispensació de productes parafarmac","4"
"0103","Operaciones básicas de laboratorio","Operacions bàsiques de laboratori","4"
"0104","Formulación magistral","Formulació magistral","4"
"0105","Promoción de la salud","Promoció de la salut","4"
"0106","Formación y orientación laboral","Formació i orientació laboral","4"
"0107","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","4"
"0150","Operaciones básicas en bar-cafeterí","Operacions bàsiques en bar cafeteri","22"
"0151","Operaciones básicas en restaurante","Operacions bàsiques en restaurant","22"
"0152","Servicios en bar-cafetería","Servicis en bar cafeteria","22"
"0153","Servicios en restaurante y eventos ","Servicis en restaurant i esdevenime","22"
"0154","El vino y su servicio","El vi i el seu servici","22"
"0155","Técnicas de comunicación en restaur","Tècniques de comunicació en restaur","22"
"0156","Inglés","Anglés","18"
"0157","Formación y orientación laboral","Formació i orientació laboral","22"
"0158","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","22"
"0179","Inglés","Anglés","28"
"0180","Segunda lengua extranjera","Segona Llengua estrangera","38"
"0210","Organización de la atención a las personas en situación dedependencia","Organització de l'atenció a les persones en situació de dependència","3"
"0211","Destrezas sociales","Destreses socials","3"
